Protein.Group;Protein.Names;Genes;First.Protein.Description;Muestra12;Muestra13;Muestra18;Muestra14;Muestra15;Muestra19;Muestra04;Muestra05;Muestra06;Muestra07;Muestra08;Muestra09;Muestra17;Muestra10;Muestra11;Muestra16;Muestra20;Muestra01;Muestra02;Muestra03;Muestra21;Muestra22;Muestra23;mean_abundance
B5X9W9       ;NHP2-like protein 1;NH2L1;Belongs to the eukaryotic ribosomal protein eL8 family;1425550;1558770;1484710;1389600;1222260;1200070;957667;1053590;1092720;1143750;957408;1118180;298500;250755;113953;75194,8;53926,6;1544750;1240790;1163440;2366680;1544320;1245050;952238,3154
B5X9X0       ;Protein S100;S10A1;Belongs to the S-100 family;173659;196784;164512;159507;145448;124781;107446;165445;122846;124122;153014;148298;166923;144416;249856;118300;108253;159733;130590;109156;155758;130489;118098;149562,1923
B5X9X7       ;Stathmin;STMN1;Belongs to the stathmin family;695029;286602;665749;91373,3;312242;525535;435795;418957;207019;705545;506545;431821;369937;326845;599492;802170;631391;825853;672650;663077;1239530;821109;661233;575741,8962
B5X9Y8       ;Glutathione S-transferase omega;GSTO1;Belongs to the GST superfamily. Omega family;1276910;1555440;1408990;1458740;1319790;1403060;1186910;1307410;1340930;1403520;1062520;1316890;1712180;1946600;2077760;2260650;1583800;1452810;1424340;1264320;2697840;1752410;1681630;1618152,692
B5X9Z0       ;Prefoldin subunit 2;PFD2;Belongs to the prefoldin subunit beta family;318209;251364;314755;238839;279045;289378;278186;229170;235548;258435;255588;240433;243714;273534;216264;281027;273130;306434;272488;278375;400675;329017;283136;272370,8077
B5X9Z2       ;Thioredoxin-like protein;TXN4A;Belongs to the DIM1 family;40057,4;33947,6;45216,2;33878,3;44059,9;48519,3;41591,3;34696,8;34288,2;52343,4;48442,4;40689,9;7977,5;10139,9;8093,02;11248,2;12278,9;40324,5;38120,9;36965,1;35328,9;30375,6;38321,7;31555,9196
B5X9Z4       ;Mitochondrial import inner membrane translocase subunit;TIM13;Belongs to the small Tim family;40617,5;31294,2;34294,8;51237,4;31114,3;27791,7;36475,6;30431,3;31297,6;31165,5;33939,1;45603,9;22758,9;23802,3;19084,7;17911,1;24126,8;;23784,7;19682,5;26886,6;30358,4;25255,6;28711,488
B5X9Z9       ;Mitochondrial fission 1 protein;FIS1;Belongs to the FIS1 family;13998,1;11813,4;11052,4;17820,8;26036,4;18660,1;14185,2;14705;14081,9;15369,2;16305;12773,6;28806,4;34875,5;32146,3;23677,9;16285,6;16814,5;12348,3;19398,3;21051,6;17827,3;18759;18947,85769
B5XA02       ;Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1;HDDC3;Belongs to the MESH1 family;51272,1;36973,2;40879,6;37700;54419;52397,2;31523,3;21385,5;24926;23364,6;30525,8;31466,6;38592,9;44037,2;49206,4;27821,4;47124,7;33254,7;31900,6;31245,7;51330;33139,9;32444,4;38459,55
B5XA03       ;Small ribosomal subunit protein eS28;RS28;Belongs to the eukaryotic ribosomal protein eS28 family;4701650;2998210;4589650;3098520;4783030;4149380;2020770;1885610;1642370;3896790;2145890;2189810;914338;945989;1093010;1966910;1515920;5038610;4105320;4577290;7220340;5078060;4893740;3062048,731
B5XA06       ;Prefoldin subunit 3;PFD3;Belongs to the prefoldin subunit alpha family;21790,5;30575,7;;39507,8;15693,6;19076,8;28303,9;40847,4;43134,2;;13668,3;30632,1;11994,5;;;;;;30388,4;;;;;26290,82308
B5XA15       ;40S ribosomal protein S4;RS4;Belongs to the eukaryotic ribosomal protein eS4 family;1879120;1954670;1950020;1320640;1487470;2106120;1990900;1873460;1680690;2388190;1874270;1645290;55996,4;49232;56829,2;66785,9;78000;2454570;2563400;2729430;2184040;2791150;2948200;1474125,935
B5XA20       ;Haloacid dehalogenase-like hydrolase domain-containing protein 1A;HDD1A;;181859;129139;173496;124064;152695;147808;91757,9;95592,4;94306;95990,5;100404;87877,4;212178;229417;250315;231396;227791;145870;128320;147671;145921;144098;130116;160436,1231
B5XA33       ;COMM domain-containing protein 3;COMD3;;29982,8;33836,3;26873,5;20249,4;25732,9;32300,5;47362,3;27281;34551,8;19786,9;27734,1;25699,2;;2585,02;6870,48;;5613,91;33499,1;32523,8;31773,1;30937,7;40054,1;32109,2;26120,68227
B5XA34       ;DCN1-like protein;DCNL1;;10687,8;11428,7;18984,9;15330,4;13538,2;20437,5;16674,5;18192,4;19805,4;9898,2;15616,9;16880,6;10794,2;13355,3;8270,55;9291,49;14544,6;7721,61;14393,9;11533,9;;13060,2;18856,9;13804,21458
B5XA45       ;Flavin reductase;BLVRB;;273517;295156;216265;290568;211653;263369;232952;254099;282367;228002;200229;225369;;;5640,63;9899,35;8512,35;206379;158704;164429;155026;142897;149737;173286,8122
B5XA49       ;Complex III subunit 9;QCR9;Belongs to the UQCR10/QCR9 family;21902,8;13736,4;15810;21236,4;29141,6;23504,1;9541,38;15488,3;9457,21;20933,6;18082,5;10414,1;2259,74;2767,27;;1287,2;2974,65;20682,7;19896,2;27470,5;9922,38;23486,2;21105,4;14964,66087
B5XA53       ;Eukaryotic translation elongation factor 1 epsilon-1;MCA3;;83750;60542,7;79408;65148,9;89290;95088,2;86275,4;83024,4;96687,3;93073,7;89999;91879,1;;;;;;100655;89283,3;120679;92413,9;103372;117380;90997,21667
B5XA56       ;Low molecular weight phosphotyrosine protein phosphatase;PPAC;Belongs to the low molecular weight phosphotyrosine protein phosphatase family;373273;146611;353206;144666;333654;406450;257900;217369;108030;352649;377247;264565;621559;669283;571940;688591;487654;382926;341191;310135;469180;359253;349644;393539,3077
B5XA57       ;U6 snRNA-associated Sm-like protein LSm4;LSM4;Belongs to the snRNP Sm proteins family;290649;204820;278229;276366;263175;283479;261427;239607;265953;280116;229355;221545;383068;386112;324525;456832;398497;307193;319233;294232;355979;343065;295043;309633,5385
B5XA65       ;lysozyme;LYSC2;Belongs to the glycosyl hydrolase 22 family;154286;152766;181339;285504;329119;293604;168038;235566;168072;208225;143379;252368;288585;302000;269794;449700;367708;414957;754054;927581;651089;579692;487463;351935,3077
B5XA77       ;S-(hydroxymethyl)glutathione dehydrogenase;ADHX;Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily;335236;373194;402833;402962;368206;411571;305933;270501;320571;388917;304033;294231;36835,7;52335,8;41484,2;116571;75833,6;412017;379098;335446;473577;429364;376933;275130,3154
B5XA83       ;COP9 signalosome complex subunit 6;CSN6;Belongs to the peptidase M67A family. CSN6 subfamily;96239,1;107317;94207,8;119913;112960;108166;128993;126392;131226;118008;128037;121382;42239,3;43614,1;39076,4;23560,7;34430,3;92267,7;97762,9;92513,2;62508,2;90625,5;99998,1;84802,75385
B5XA94       ;NTF2-related export protein;NXT2;;22028,6;25480,1;20622;23233,5;19319,8;12587,2;25080,7;20587,5;28820,1;18712,8;14924,8;22554,4;33750;25043,7;37188,6;32230,8;30127,9;24426,3;18914,4;22096,9;22554,1;28970,4;27268,9;25243,45769
B5XA95       ;Protein S100;S10A1;Belongs to the S-100 family;9782140;9309250;10234400;6126950;6927890;6738350;6183130;5170220;4865400;8275410;5930090;5913100;10086300;10922200;8864370;8471740;9400870;8163620;7180020;6333020;16318400;8202740;8496990;8406812,308
B5XAA2       ;C-factor;CSGA;Belongs to the short-chain dehydrogenases/reductases (SDR) family;103107;120838;115038;86480,6;123839;135236;75448,7;84258,3;82628,6;44633;56117,2;73411,3;;;;;;39623,9;30086,6;30871,3;36037,4;35066,7;46162,9;73271,36111
B5XAB1       ;Dehydrogenase/reductase SDR family member 13;DHR13;Belongs to the short-chain dehydrogenases/reductases (SDR) family;10669,9;13665,5;14136,5;17355,6;9806,9;11286,3;16488;20837,9;18214,3;18663,2;14650,4;18257,7;;;;;;13713,2;19442,8;37531,9;7409,33;18459,8;26143,2;17040,69056
B5XAB2       ;26S proteasome non-ATPase regulatory subunit 8;PSD8;Belongs to the proteasome subunit S14 family;347417;277720;333393;309196;305103;337340;339752;319544;313091;321989;342849;313759;11503,3;15424,2;8038,85;38387;13830,4;299943;326833;334200;323748;394190;351172;231797,975
B5XAB6       ;Complement component 1 Q subcomponent-binding protein, mitochondrial;C1QBP;Belongs to the MAM33 family;417535;365209;402689;380222;371598;323653;265769;237655;235475;249183;264000;268368;513824;487115;492203;449572;374881;259376;269789;234930;436572;311652;244664;350943
B5XAC1       ;Translationally-controlled tumor like protein;TCTP;Belongs to the TCTP family;1708140;1450010;1529470;1216100;1383950;1347230;1678540;1425420;1209180;1218940;1695150;1586780;380453;403006;555510;84736,9;413520;1412470;1275620;1546800;1823840;1520580;1607250;1133636,662
B5XAC9       ;26S proteasome non-ATPase regulatory subunit 10;PSD10;;7968,7;11397;6901,73;12438,2;6083,47;5887,06;8553,11;10028,3;13482,3;;10396,8;6668,92;;;;;;4780,15;;3541,53;;;5106,15;8088,101429
B5XAD8       ;Mitochondrial import inner membrane translocase subunit;TIM8A;Belongs to the small Tim family;31766,1;17909,3;33366,5;10348;21139,5;28768;19433,7;16696,8;11852,7;26780,2;16758,7;13431,2;14424;12608,2;16158,8;15275;18128,8;40569,7;28184,3;33516,1;37721,8;35901;32918,3;22278,28462
B5XAE0       ;Annexin;ANXA5;Belongs to the annexin family;351130;216930;354766;227404;395070;359075;310482;359465;134658;507036;395188;322386;2124300;2125870;2212160;1255790;869109;677469;545525;973600;738213;650740;847011;815077,0769
B5XAE3       ;N-alpha-acetyltransferase 20;NAT5;Belongs to the acetyltransferase family. ARD1 subfamily;47183,6;30007,8;49941,4;32039,1;50617;52863,4;64827,9;53017,6;39917,8;66462,6;59451,8;58417,8;15547;19653;21415,5;8864,49;23100;65224,2;65292;64214,4;48776;67148,5;70509,5;43434,27654
B5XAF3       ;Acireductone dioxygenase;MTND;Belongs to the acireductone dioxygenase (ARD) family;59719,3;71710,2;47451,1;77875,2;71211,2;49353,3;66734,3;62982,4;57563,9;57455,1;64447,5;69537,5;58588,5;70835,8;48210,3;61444,8;51644,7;54119,7;50046,4;42933,1;51615,1;52855,9;40588,4;58262,45385
B5XAF8       ;BolA-like protein 1;BOLA1;Belongs to the BolA/IbaG family;52678,6;66688,7;46191,6;51387,5;45711,5;40514,8;29775,5;43708,5;41903,8;27525,8;23989,9;31397,8;;;;;;40442,3;48028,6;39719,2;57534,8;35812,3;32435,2;41969,24444
B5XAF9       ;Golgin subfamily A member 7;GOGA7;Belongs to the ERF4 family;;4904,65;;5343,94;;3046,12;3787,59;;3729,11;;4001,47;;;;;;;5831,79;4642,73;;;5366,11;5579,52;4623,303
B5XAG0       ;Dehydrogenase/reductase SDR family member 11;DHR11;Belongs to the short-chain dehydrogenases/reductases (SDR) family;34297,3;37097,7;39262,4;37186,1;37770,8;30282,2;32266,6;40884,3;30152,4;26130,6;36521,5;31711,3;34960;38409,6;46344,9;20125,9;31426,9;34422,5;26404,9;20327,5;28316,4;34194;33524,1;33546,31154
B5XAG4       ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8;NDUA8;Belongs to the complex I NDUFA8 subunit family;40994,4;50568,7;53391,4;70503,9;67618;42899;19712,9;16746;14029,9;29627,5;22947,4;24610,6;;13164,5;11533,9;12578,2;4261,54;40299,4;33200,8;29104,8;21260,7;21695,2;32058,1;28645,08667
B5XAG6       ;Proteasome subunit alpha type;PSA4;Belongs to the peptidase T1A family;79785,3;178051;53112,3;131264;60061,1;29504;44356,9;78332,9;78628;49007;48228;72312,3;91952;100418;70770,8;225004;72524,6;58488;76076,2;85479,3;120501;97483,4;116842;89843,63077
B5XAG7       ;Zinc finger protein 706;ZN706;;70645,2;28226,8;54780,3;27044,1;39733,7;33554,4;36719,3;22129,4;20396,4;46602,5;21353,2;29703,1;;;6064,12;;;69783,2;48981,3;55071,2;83724;47879,8;43513,5;41363,44842
B5XAG8       ;Catechol O-methyltransferase domain-containing protein 1;CMTD1;Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-dependent O-methyltransferase family;76217,2;75321,4;70749,7;70293,7;54035,6;43545,7;70592,6;100846;88586,9;49583,8;76282,6;96700,8;23287,5;21162,3;35995;15222,1;22534,2;87715,6;76567,9;61839;37969,8;56705,6;52844,4;55114,07692
B5XAH1       ;26S proteasome non-ATPase regulatory subunit 14;PSDE;;347554;433165;337524;345790;260223;300815;224535;252670;259836;290847;282775;218096;106133;119680;105642;208204;126600;326495;283338;321504;337069;382334;363159;258388,3462
B5XAH2       ;Acyl-protein thioesterase 1;LYPA1;Belongs to the AB hydrolase superfamily. AB hydrolase 2 family;43854,4;31317,9;46737,7;32391,2;52406,8;47618,8;32211,9;22852,7;17930;44186;49567,1;35682,8;49254,8;58001,1;57467,8;42078;48434,8;32510,1;27417,3;27618,7;42771,6;40647,3;34954,8;41517,48846
B5XAI8       ;Alpha-soluble NSF attachment protein;SNAA;Belongs to the SNAP family;39967,4;30862,7;43097,4;28735,1;46146,9;39488,8;18545,6;19199,8;16078,4;32020,3;22220,2;20804,1;2526,84;;;;3508,85;32500,1;31872,9;38308,3;31288,4;28928,2;35066,8;26906,80143
B5XAJ7       ;Cytochrome c oxidase subunit;CX6A1;Belongs to the cytochrome c oxidase subunit 6A family;26526,5;28522,3;24579;33559,1;12351,1;17003,4;11403,8;25064,8;19186,4;13075,6;;14807;;;;;;15134,5;28017,3;20652,8;9207,01;15433,4;14235,5;19338,79471
B5XAK0       ;Small nuclear ribonucleoprotein-associated protein;RSMB;Belongs to the snRNP SmB/SmN family;438655;525659;491320;482634;411320;423426;518867;500094;559509;450562;535583;514303;936620;745054;868397;684248;782160;435651;481427;601474;467300;550597;532461;585566,6154
B5XAK8       ;Peroxisomal trans-2-enoyl-CoA reductase;PECR;;25468,6;13597,9;22805,2;13963,4;20240;22083,6;20824;18186,8;12877,7;23628,7;12016,6;10661,6;;8761,47;;;;24582,4;20668,5;13282,8;39715;33772,5;18112,8;19749,97737
B5XAK9       ;ADP-sugar pyrophosphatase;NUDT5;Belongs to the Nudix hydrolase family;72382,9;33072,3;66138,4;68153,5;123113;107134;77297,9;70533,4;89657;85025,2;117228;94447,8;140742;147056;127633;106279;104422;87933;96772,3;91680,8;68771,7;109735;62700,3;95571,61538
B5XAM0       ;Thymosin beta;TYB12;Belongs to the thymosin beta family;9165410;9184420;9803030;7787010;7332590;7289670;6041640;6331820;5800770;6672770;6434270;6361580;3602030;3847050;3732350;4346810;2593820;8600250;7289600;6446990;15124400;8749180;8028160;6761596,923
B5XAN0       ;Transforming protein RhoA;RHOA;;12082,3;9720,27;5304,51;17887,6;20664,7;18202,3;10706,4;12504,6;11865,1;10722,1;9324,96;13912,4;;;;;;14898,8;14152,4;17528,5;13384,7;15735;14533,6;13507,23556
B5XAP3       ;COMM domain-containing protein 6;COMD6;;42381,5;36641,1;20678,3;28724,5;29993,9;52325;44074,3;45978,8;33889,5;;26831,1;39583,2;;15554,8;18550;;15789;53839,2;45235,6;51053,7;67131,9;53857,3;58838,1;37196,63182
B5XAP5       ;Protein S100;S10A1;Belongs to the S-100 family;52184,1;36338,2;43450,8;47068,6;41257,8;30502,4;33438,7;32885,5;29159,2;31985;33562,3;22329,5;60448,3;41132,5;79481;41108,1;42574,5;44723,9;36860,7;27098,9;43412,4;28319,2;23075,4;40781,05
B5XAP9       ;argininosuccinate synthase;ASSY;;2209050;2430340;2072280;2656530;2962780;3333780;2839980;2532150;2737180;3273160;2883640;2487610;99342;101634;79394,5;90305,2;133771;1949320;2185420;2165980;1889610;1974320;2177490;1752026,554
B5XAQ1       ;Ragulator complex protein LAMTOR5;XIP;Belongs to the LAMTOR5 family;51231,7;33702,7;36229;55240,5;57685,1;56647,8;42133,7;57754,6;48552,8;38577,5;43546,3;31358,8;;;;;;46381,8;40354,2;40890;51312,6;37837,2;36725,6;44786,77222
B5XAQ9       ;Pre-rRNA-processing protein TSR2 homolog;TSR2;Belongs to the TSR2 family;56817,9;37771,5;73837,9;25696,7;44734,5;51058;31593,5;42336,3;33619,5;50271;32855,3;30685,3;10114,4;9736,58;8741,94;15369;13241,5;66385,8;61932,1;60114,5;94532,3;73994,1;64916,5;39406,04154
B5XAS8       ;Alpha-tectorin;TECTA;;23989,7;13137,9;16219,8;10831,5;12601,5;9759,48;16140,8;12644,6;13829,7;18159,9;11701,1;16153,1;16534,9;17186,6;12501,3;93287,4;58271,4;9680,8;6284,67;10767;10717,2;6527,54;8500,53;24149,75846
B5XAS9       ;Translation initiation factor eIF2B subunit alpha;EI2BA;Belongs to the eIF-2B alpha/beta/delta subunits family;18409,6;30179,8;17932,3;27241,1;14745,7;22057,4;22413,1;26164,2;24718,6;11677,7;18691,6;19298,8;;;;;;17678,9;16082,7;14421,3;18365,5;18302,2;16136,1;19695,36667
B5XAT8       ;1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta-3;PLCB3;;;;5900,82;;;;;4625,46;2912,48;;4599,12;4192,43;;;;;;;;;;;;4887,601667
B5XAU0       ;Serine/arginine-rich splicing factor 3-like;SFRS3;;519126;237791;490618;259692;525916;536067;355597;296811;231791;571655;363584;378248;130783;133294;105974;123313;90511,1;786869;625252;627650;1003940;723233;703185;389599,1692
B5XAU9       ;Signal peptidase complex catalytic subunit SEC11;SC11A;Belongs to the peptidase S26B family;14451,8;23036,8;17718,7;27435,9;16204,7;21081,7;28474,9;29109,4;25635,6;16185,2;23244,9;25022;;;;;;15599,4;25932,5;39161,1;14228;28530,7;28006,8;23281,11667
B5XAV1       ;Development and differentiation-enhancing factor-like 1;DDFL1;;4684,84;5027,03;4359,38;;;5040,83;5784,85;7116,88;4310,78;6610,71;4520,92;4801,17;;;;;3935,07;6708,13;;3305,2;;4821,21;7173,41;5213,360667
B5XAW3       ;Serglycin;SRGN;;2242,77;8415,67;7544,88;8225,73;5408,82;4835,3;;;;;;2621,18;;;3058,67;;4183,91;7187,63;5713,05;;;3809,21;;5221,166667
B5XAX4       ;Death-associated protein-like 1-B;DAL1B;;55186,2;39345,3;56482,8;73222,4;71434,4;51587,1;38954,7;52318,3;40874,1;47304,1;48480,7;52013,9;;;;;;59219,9;42330,1;57821,5;63948,5;74050,4;37596,5;53453,93889
B5XAY2       ;Cytochrome b-c1 complex subunit Rieske, mitochondrial;UCRI;Belongs to the Rieske iron-sulfur protein family;26517,3;;24822,1;;8267,6;6269,66;;;;10530,2;;4150,86;;;;;;15216,4;10421,1;8971,26;;4907,91;;12007,439
B5XAZ2       ;Ras-related protein Rab-35;RAB35;Belongs to the small GTPase superfamily. Rab family;84102,1;94606,5;102299;99107,2;112406;89465,3;76434,2;94009,4;104214;84124,2;89530,8;96649,9;;;;;;79336,2;72268,8;85328,6;35557;67584,9;88472,8;86416,49444
B5XB07       ;ATPase inhibitor, mitochondrial;ATIF1;Belongs to the ATPase inhibitor family;13689,1;11269;14183,7;;9905,93;;6694,57;;;;7580,62;;;;;;;9949,54;16661,2;;14933,1;12007,6;;11687,436
B5XB14       ;Cleavage and polyadenylation specificity factor subunit 5;CPSF5;Belongs to the Nudix hydrolase family. CPSF5 subfamily;174329;163247;166762;174567;171697;169162;164282;148133;160067;117728;159939;168810;198422;194206;199139;169224;173282;148412;147811;147374;152338;169357;159676;166129,5385
B5XB15       ;Nucleoside diphosphate kinase homolog 7;NDK7;Belongs to the NDK family;23283,1;26287,4;22387,7;28670,2;32581,2;25481;40388,5;26795,6;29727,2;32631,6;37656,1;27849,9;;;;5586,62;6555,28;36836,3;40559,5;27871,3;33879,9;35759,3;33120,1;27560,30048
B5XB24       ;ER membrane protein complex subunit 4;emc4;Belongs to the EMC4 family;;;;;;;;15961,6;14025,9;;;;;;;;;;;;;7584,17;8213,55;11446,305
B5XB27       ;Kynurenine formamidase;afmid;Belongs to the kynurenine formamidase family;48764,4;33769,7;62159,4;42157,8;50031,8;54874,9;69691,5;57060,6;56702,8;96529;76646;66348,8;5616,46;6318,44;;15756,6;14951,7;71015,4;81414,9;72357,8;61883,9;59077,5;70556,8;50457,09583
B5XB34       ;Acyl carrier protein;ACPM;Belongs to the acyl carrier protein (ACP) family;126122;130027;124731;142820;145869;146093;150548;136600;128943;133611;95780,6;133195;306701;370435;337192;440793;274405;135637;139078;102737;304302;137864;133106;204284,2538
B5XB38       ;Beta-microseminoprotein;MSMB;Belongs to the beta-microseminoprotein family;388798;110598;371404;278039;636692;573493;265355;169597;118604;473127;260934;185280;406153;390181;577185;2462690;2164030;526083;509214;729369;445233;383713;370228;675836,4231
B5XB48       ;Fatty acid binding protein 6;FABP6;Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family;17485,6;7487,15;;;;;;9972,3;;;;;;;;;;;38388,9;352340;29835,6;50460,3;74141,4;72513,90625
B5XB51       ;Triosephosphate isomerase;TPIS;Belongs to the triosephosphate isomerase family;796540;586187;803549;556588;777686;818975;594583;611139;496144;792000;725064;665084;65239;68753,6;100651;121730;64540,5;1023950;877639;806636;1485450;1042920;972053;582012,6846
B5XB52       ;Retinol dehydrogenase 12;RDH12;Belongs to the short-chain dehydrogenases/reductases (SDR) family;44226,4;18384,1;61024,5;18961,7;30208,3;43464,9;32834,7;21856,6;21946,5;56366,6;27976,9;25145;;;;;;57004,6;45562,7;39034,6;55315,7;41532,3;57586,9;38801,83333
B5XB58       ;Cyanocobalamin reductase / alkylcobalamin dealkylase;MMAC;Belongs to the MMACHC family;21096,1;18017,5;17800,9;21594,7;18602;20938,8;21821,8;20200,3;20865,8;22012,2;20226,4;15542,2;;;;;;23474,3;15038,8;19257,5;17296,3;19896,7;22640,6;19795,71667
B5XB64       ;Thymocyte nuclear protein 1;THYN1;;102718;50757,2;108960;64426,2;96980,4;88109;70346,4;151765;50505,1;81153,1;89622,6;84933,2;;;;;;82293,2;66267,9;70669,4;104193;77587,8;89654,4;85052,32778
B5XB66       ;Small nuclear ribonucleoprotein G;RUXG;Belongs to the snRNP Sm proteins family;166745;147765;181635;123518;180880;157476;145859;127969;123399;118930;142228;162220;242304;206893;200116;268063;274349;175642;196820;210364;214969;142714;184052;186066,3462
B5XB73       ;Heat shock protein 67B2;HS6B;;16721,7;25769,6;13031;18562;10653,6;13581,1;12810,8;21359;17704,1;;10620,2;15368,8;;;;;2532,36;;14394,2;;;9749,25;7872,97;14048,712
B5XB74       ;Flavin reductase;BLVRB;;68562,2;66512,4;53848,2;51526,4;45475,9;34131,6;29176,7;40538,4;30309;37359,2;42972,5;41793,5;;;;;;25538,2;30032,3;24048,6;15044,1;26554;24575,4;38222,14444
B5XB84       ;Cofilin-2;COF2;Belongs to the actin-binding proteins ADF family;5386510;3659010;4913220;3771830;5402200;5703740;4270340;4207930;4081010;3783940;4225820;4334060;3659560;3554200;3401250;3858230;3996120;5198150;5341210;4999380;5601010;5164090;4796160;4414125,385
B5XB89       ;Signal recognition particle 19 kDa protein;SRP19;Belongs to the SRP19 family;251813;147412;218776;162037;228868;192552;191881;153760;117246;128717;181499;175382;15361,2;14897,2;25279,3;66517,9;44705,1;192383;155876;145204;205389;184879;156633;133325,5846
B5XB93       ;Cyclin-dependent kinases regulatory subunit;CKS1;Belongs to the CKS family;18086,2;19131,8;22285,9;12739,1;14060,3;17177,1;27005,1;15871;17777,2;19962,9;19439,4;18664,3;;;;;;17046;16640,5;21127,5;23794,5;18598,9;19195,7;18811,3
B5XB94       ;ATP synthase subunit gamma;ATPG;Belongs to the ATPase gamma chain family;26573;79947,3;35234,7;54584,7;41118,1;25251,3;16557,1;19223,4;24677,4;13143,9;12823,9;19263,3;;;;;;11409,1;12348,5;;30519,9;;;28178,37333
B5XB96       ;EEF1A lysine methyltransferase 2;METLA;Belongs to the class I-like SAM-binding methyltransferase superfamily. EFM4 family;16712,8;11092,7;17489,3;13110,9;19064,9;16193,9;16498;13101,3;12487,3;8533,55;11750,7;15452,4;;;;;;17553,6;14482,2;12503,7;;11805,1;16074,7;14347,47353
B5XB99       ;C1orf50 homolog;CA050;;17675,3;12100,7;15158,5;11986,9;19555,7;11547,2;21162;11178,2;13265,4;25979,5;21004,5;31183,3;13688,2;17331,4;14472,7;11552,7;11667,5;33116,1;31827,2;35087,8;41484,8;30135,7;28909,2;20423,00167
B5XBA5       ;Acyl-CoA-binding domain-containing protein 7;ACBD7;;61722;34585,3;62829,1;49065,1;28321;27911,7;24105,6;48829,3;25036,6;47839,2;48264,5;47963,6;47468,8;64290,9;78789,8;78985,2;74870;54862,7;28903,9;40265;64162,4;40751,9;44588,1;51158,97692
B5XBB0       ;MIT domain-containing protein 1;MITD1;;18319,7;15970,2;16083,3;16526,5;16763,4;16927,1;15173,8;16662,7;14392,8;8489,4;11648,6;14174,4;22923,5;29396,4;29135,1;25851,4;25332,1;21957,7;15946,6;16637,4;19007,6;16713,1;15792,5;19349,76923
B5XBB1       ;Small nuclear ribonucleoprotein Sm D3;SMD3;Belongs to the snRNP core protein family;45076;60902,7;65284,4;81599,8;46819,9;53498,2;47180,2;73388,1;69605,4;38527,9;46592,2;62951,9;103239;95516;136287;73337,5;85129,9;72023,4;59374;75941,9;64075,1;72436,1;77552,6;73549,47308
B5XBB9       ;Cleavage and polyadenylation specificity factor subunit 5;CPSF5;Belongs to the Nudix hydrolase family. CPSF5 subfamily;;;;;;;;17277,6;;;;13355,3;;;;;;;;;;;;15316,45
B5XBC0       ;peptidylprolyl isomerase;FKB11;;;;;;;;;;;;;;;;;;;;;;;16501,6;;16501,6
B5XBC8       ;Retinoblastoma-binding protein 9;RBBP9;;199003;81629,1;185901;130718;213312;200190;144040;141152;113713;223166;156467;132635;191775;218806;235370;114202;194946;212959;182092;181775;190594;184321;155984;174176,35
B5XBD7       ;Glutaredoxin-1;GLRX1;Belongs to the glutaredoxin family;20358,6;;;;18276,3;;;;;;;;23628,5;20529,7;20655,1;67252,1;28257,3;36765,1;32294,3;35511,1;;39043,1;14383,8;34258,60714
B5XBE3       ;Mitochondrial 2-oxoglutarate/malate carrier protein;M2OM;Belongs to the mitochondrial carrier (TC 2.A.29) family;196889;182937;188746;160353;176509;183121;150158;142033;132386;187189;154858;166765;101830;99021,3;98985,2;134422;134669;231209;230095;227489;325882;246179;199756;169467,6654
B5XBE8       ;Protein Abitram;YMA7;Belongs to the ABITRAM family;7963,16;5671,63;9580,11;8318,77;7270,42;8119,38;3039,54;5351,67;6183,07;4910,54;6117,21;10480,5;;;;;;;5878,82;;;6194,2;5514,7;6706,248
B5XBF8       ;RNA 3'-terminal phosphate cyclase-like protein;RCL1;Belongs to the RNA 3'-terminal cyclase family. Type 2 subfamily;40014,2;40300,9;43154,8;41993,5;46762,9;40557,9;44811,1;48121;39323,9;56334,2;45411,6;43576,2;;;;;;38676,4;43962;41935,2;24687,8;36184,3;46765,4;42365,18333
B5XBG4       ;Phosphatidylcholine transfer protein;PPCT;;51166,1;35094,5;59779,5;36585,5;66057,9;54818,7;34580,6;32460,4;35687,6;47651;45707,6;41581,7;;;;;;33627,1;34012,8;36801,4;33464,7;35441,9;44090,2;42144,95556
B5XBG5       ;Enhancer of rudimentary homolog;ERH;Belongs to the E(R) family;38805,4;35680,2;31449,4;92124,2;;44906,1;29937,9;25399,4;13627,2;55871,2;27688,8;15842,5;64091,9;80215,6;48902,8;69853,8;74980,9;73375,4;80572,3;91130,5;80043,5;109125;88103,5;58944,284
B5XBH3       ;Apolipoprotein A-I;APOA1;Belongs to the apolipoprotein A1/A4/E family;12959000;7749280;10863500;3476730;4515840;5556050;5066190;6522920;3894460;7143180;6463850;5250860;1672190;1554190;1673120;3585450;2254330;8705280;6880850;7793410;11378300;8169720;7265640;5723385,769
B5XBH7       ;Heterogeneous nuclear ribonucleoprotein A3 homolog 2;RO32;;195479;153779;216970;123391;166555;166845;110167;112263;111487;115148;101097;110152;;;;39585,7;;171523;158213;130840;247764;139558;117977;141515,4579
