Protein.Group;Protein.Names;Genes;First.Protein.Description;Muestra12;Muestra13;Muestra18;Muestra14;Muestra15;Muestra19;Muestra04;Muestra05;Muestra06;Muestra07;Muestra08;Muestra09;Muestra17;Muestra10;Muestra11;Muestra16;Muestra20;Muestra01;Muestra02;Muestra03;Muestra21;Muestra22;Muestra23;mean_abundance
A0A1S3Q3U2   ;Vesicle transport through interaction with t-SNAREs homolog 1A-like isoform X6;LOC106589328;Belongs to the VTI1 family;;;;;;;;;;;;;11715,5;;17789,1;20289,2;;;;25578,9;;28525,4;;19459,8275
A0A1S3Q3X1   ;MMS19 nucleotide excision repair protein;LOC106589352;Belongs to the MET18/MMS19 family;19597,5;22450,9;19070,5;15882;19423,3;23154,3;17843,2;16571,7;19242,8;20894;22992,2;23317,7;;;;;;19178,3;17183,8;23006,3;14175,2;21054;13668,5;19372,56667
A0A1S3Q3Y1   ;HEAT repeat-containing protein 1;heatr1;Belongs to the HEATR1/UTP10 family;43419,4;54131,1;55445,5;54073,9;55690,2;55669,3;83143,7;65775,2;69153,8;71868,4;78708,3;75276,1;;;;;;44345,1;48898,6;50999,6;32242,2;45144,7;53749,4;57651,91667
A0A1S3Q423   ;Centrosomal protein of 55 kDa isoform X1;cep55;;;;;5714,53;;;8025,65;5797,5;4805,67;;6972,32;6714,38;;;;;;;;5213,93;;6423,68;;6208,4575
A0A1S3Q426   ;Wings apart-like protein homolog isoform X1;LOC106589362;Belongs to the WAPL family;21431,1;22207,2;22179,2;17272,4;19982,7;18395,7;20825,6;22017,7;22424,5;18553,8;20206,6;22616,9;;;;;;14357,7;14088,1;15732,9;7521,9;16644,5;14346,2;18378,03889
A0A1S3Q432   ;Nucleolar complex protein 3 homolog;noc3l;Belongs to the CBF/MAK21 family;39569,6;14309,2;39792,8;20616,5;23856,5;19883,2;27809,6;26700;23670,9;32656,4;34477,6;27546,5;;;;;;32857,8;27413,3;24366,1;23450,4;28927,5;26074;27443,21667
A0A1S3Q444   ;VPS35 endosomal protein-sorting factor-like;cssa28h16orf62;Belongs to the VPS35L family;33551,6;39931,3;36202,5;37706,9;38150,7;35406;53113,6;54701,9;50999,8;40990;48907,1;56296,5;;;;;;33693;37207;38014,3;23290,6;35883,9;39929,6;40776,46111
A0A1S3Q466   ;Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN;LOC106589390;Belongs to the PTEN phosphatase protein family;14346,4;25927,1;11556,2;20249,7;14606,2;12095,1;18413;21405,3;17996,6;10838;15980,8;17139,5;;;;;;7780,6;16920,2;12984,3;12395,7;15912,9;14315,3;15603,49444
A0A1S3Q478   ;Interferon-induced protein with tetratricopeptide repeats 5-like isoform X1;LOC106589386;Belongs to the IFIT family;59476,3;16255,4;45411,1;21642,6;52232,5;58530,6;76426;74880,5;55447,3;84250,7;52252,2;39998,3;;;23563,5;;;40148,6;62744;67221,2;63117,6;44100,1;53696,5;52178,68421
A0A1S3Q481   ;Serum response factor-binding protein 1;LOC106589067;;32593,9;21354,6;33116,4;;19613,4;31980,2;23316,1;20977,4;18024,2;25269,5;22511,8;19039,8;11245,1;;;;13969,9;27283,2;22285,5;;;;;22838,73333
A0A1S3Q496   ;KH domain-containing, RNA-binding, signal transduction-associated protein 1-like;LOC106589082;Belongs to the KHDRBS family;14097,9;15109,8;11794,5;23344,2;10449;;;14747,9;23540,1;;;;;;;;;15926,4;14431,7;8999,39;17481,9;;17355,8;15606,54917
A0A1S3Q4A0   ;Actin, aortic smooth muscle;LOC106589387;Belongs to the actin family;11601,5;;9671,62;9409,09;21059,7;21047,8;23261;30190,8;11828,8;36798,1;17643,6;17328,4;4015,84;;6413,27;;;13305,1;10987,7;12386,9;7941,64;;6921,24;14658,97737
A0A1S3Q4B0   ;Multiple inositol polyphosphate phosphatase 1-like;LOC106589393;;34047;34373,1;34813,5;34936,8;33546,3;34046,7;30186,9;34171,7;33255,6;33717,3;26889,5;34694,7;11673,7;13351,9;14726,5;;10272,4;28006,3;31933,2;28828,9;30924,2;32241,8;30505,1;26616,456
A0A1S3Q4B1   ;tRNA dimethylallyltransferase, mitochondrial-like;LOC106589089;Belongs to the IPP transferase family;11258,8;;10136,8;6841,36;13760,9;;;8903,06;8133,43;;;;;;;;;;;17359;;;;10913,33571
A0A1S3Q4C3   ;DNA mismatch repair protein;msh2;Belongs to the DNA mismatch repair MutS family;62030,3;60953,4;61347,2;44642;51734,2;54748,8;79499,9;67523,3;74720;66941,3;66333,4;66768,4;;;;;;68958,8;63780,2;62120,7;47751,3;50585,2;58999,5;61635,43889
A0A1S3Q4C9   ;Protein phosphatase 1B-like isoform X1;LOC106589410;Belongs to the PP2C family;136674;128075;140648;169147;144753;138945;142050;139436;152991;122625;154558;154556;31955,5;32746;27157,7;30977,3;35993,4;102661;102711;100908;70295,2;105242;99767,3;98533,61538
A0A1S3Q4D9   ;Metastasis-associated protein MTA3-like isoform X1;LOC106589409;;41372,8;34213,7;44977,5;46323;34148;34468,9;42397,8;36871,7;37600,3;59095,8;48042,4;46554,3;;;;;;53919,9;48952,3;48027,1;40693;53971,9;39385,4;43945,32222
A0A1S3Q4E7   ;Protein transport protein Sec24C-like isoform X2;LOC106589412;Belongs to the SEC23/SEC24 family. SEC24 subfamily;78556,7;79334,5;80063,8;89792,4;83468,6;97653,3;140399;127026;123898;125079;125220;135688;22263;18449,8;21051,8;10677,4;25540,9;113833;119973;137057;92294,2;119205;141111;83330,73846
A0A1S3Q4F6   ;calcium/calmodulin-dependent protein kinase;LOC106589429;Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. CaMK subfamily;400582;392981;366782;342310;361610;407742;408328;431474;434801;340791;401531;380422;563282;478803;290696;353931;347531;299511;314731;350073;256006;346281;356484;372191,4231
